Period,Exporter,Importer,Qty_asperE,Qty_asperI,PrimaryValue_asperE,PrimaryValue_asperI,Qty_mean
2019,ARE,AUS,0.0,2.97532e9,0.0,1.223199004905e9,2.97532e9
2019,USA,AUS,2.108610596556e9,2.39497e9,9.8770374e8,9.76650810936e8,2.251790298278e9
2019,YEM,AUS,0.0,1.83726e8,0.0,8.7927231292e7,1.83726e8
2019,DZA,BRA,0.0,2.155088e9,0.0,1.15641296e9,2.155088e9
2019,IRQ,BRA,0.0,5.52647e8,0.0,2.41919664e8,5.52647e8
2019,LBY,BRA,1.78062e8,1.870998e8,8.6588260076e7,1.0215643e8,1.825809e8
2019,NGA,BRA,0.0,1.339244318e9,7.0264484559e8,7.2460108e8,1.339244318e9
2019,NOR,BRA,1.22696e8,8.68374e7,5.6964479506e7,4.3231075e7,1.047667e8
2019,SAU,BRA,0.0,3.332467e9,0.0,1.594269892e9,3.332467e9
2019,DZA,BRN,0.0,0.0,0.0,3.048359877e7,0.0
2019,AGO,BRN,0.0,0.0,0.0,7.781327384e7,0.0
2019,IOT,BRN,0.0,1.33044e8,0.0,7.517755439e7,1.33044e8
2019,GNQ,BRN,0.0,1.39584e8,0.0,8.003590401e7,1.39584e8
2019,FRA,BRN,0.0,0.0,0.0,6.521619418e7,0.0
2019,IRQ,BRN,0.0,0.0,0.0,5.952100066e7,0.0
2019,KAZ,BRN,2.29289e8,0.0,1.1331331311e8,2.0361818805e8,2.29289e8
2019,MYS,BRN,7.22163e6,556.0,3.694908827e6,868.39,3.611093e6
2019,NGA,BRN,0.0,0.0,0.0,2.874229856e8,0.0
2019,QAT,BRN,6.56018e7,0.0,3.0922982515e7,3.243753304e7,6.56018e7
2019,ARE,BRN,0.0,4.64541461851e8,0.0,2.4924124298e8,4.64541461851e8
2019,BRA,BOL,40.0,40.0,86.0,93.82,40.0
2019,MEX,BOL,0.0,14.0,0.0,336.93,14.0
2019,ARG,CHL,2.30165e8,2.3371782e8,9.188676783e7,1.0363394687e8,2.3194141e8
2019,ARG,NLD,3.83191e8,2.8095e8,1.6463625695e8,1.29195798084e8,3.320705e8
2019,ARG,ARE,4.19708e8,0.0,1.7679740987e8,0.0,4.19708e8
2019,ARG,USA,1.58274e9,1.702089191278e9,6.8659133248e8,8.20189516e8,1.642414595639e9
2019,BRB,JAM,2.47311e7,2.12693e7,9.669731e6,8.466157457e6,2.30002e7
2019,BRB,TTO,1.286906e7,20.0,5.43076e6,297.147,6.43454e6
2019,BEL,AUT,2.04,0.0,62.959,0.0,2.04
2019,BEL,HRV,0.0,2.5,154.588,151.0,2.5
2019,BEL,CZE,513231.0,0.0,260750.927,0.0,513231.0
2019,BEL,DNK,18.42,0.0,1006.576,0.0,18.42
2019,BEL,EST,153.906,0.0,605.782,0.0,153.906
2019,BEL,FIN,1.03,0.0,33.36,0.0,1.03
2019,BEL,FRA,5001.314,2.568471e6,2933.36,3.409701376e6,1.286736157e6
2019,BEL,DEU,2535.064,0.0,1517.65,0.0,2535.064
2019,BEL,HUN,1.02,0.0,13.702,0.0,1.02
2019,BEL,ISL,3.34,0.0,122.471,0.0,3.34
2019,BEL,LVA,11.26,0.0,494.091,0.0,11.26
2019,BEL,LBR,0.16,0.0,8.53,0.0,0.16
2019,BEL,LBY,13050.0,0.0,23859.494,0.0,13050.0
2019,BEL,LTU,797.813,0.0,643.653,0.0,797.813
2019,BEL,LUX,4.09,0.0,41.208,0.0,4.09
2019,BEL,NLD,9.465240925e7,1.529511974e9,4.9065450878e7,7.92213951309e8,8.12082191625e8
2019,BEL,POL,1.02,13248.0,29.767,7168.0,6624.51
2019,BEL,ROU,1.03,0.0,14.923,0.0,1.03
2019,BEL,SVK,160.003,0.0,147.513,0.0,160.003
2019,BEL,GBR,2.05,0.0,50.466,0.0,2.05
2019,BEL,X1 ,0.0,0.0,1694.549,0.0,0.0
2019,BLR,DEU,1.6494e9,0.0,7.26767e8,0.0,1.6494e9
2019,CMR,CHN,9.33236e8,1.0643935e9,4.2594005611e8,4.97369893e8,9.9881475e8
2019,CMR,FRA,43.0,194.0,441.91,3560.462,118.5
2019,CMR,ITA,8.576781e8,9.52902e8,3.5574679905e8,4.20319349039e8,9.0529005e8
2019,CMR,JPN,4.5299e7,4.45934e7,2.416293643e7,2.649870488e7,4.49462e7
2019,CMR,NLD,3.915477e8,7.5960612e8,1.60285189e8,3.4523807841e8,5.7557691e8
2019,CMR,PRT,1.27024e8,0.0,5.755739969e7,0.0,1.27024e8
2019,CMR,IND,5.04161e8,4.98161536843e8,2.5483644868e8,2.36866109342e8,5.0116126842149997e8
2019,CMR,SGP,4.6648e7,4.61616e7,2.216641633e7,2.5091990537e7,4.64048e7
2019,CMR,ESP,5.33405e8,0.0,2.3211837525e8,0.0,5.33405e8
2019,CMR,GBR,11.0,0.0,83.87,0.0,11.0
2019,CMR,USA,3.720896e8,4.14456719318e8,1.7280558489e8,1.99715184e8,3.9327315965900004e8
2019,BRA,CAN,0.0,603.7149999999999,294.0,290.91400000000004,603.7149999999999
2019,BRA,COL,24.0,0.0,182.0,0.0,24.0
2019,BRA,FRA,3.12202929e8,3.17351028e8,1.21390297e8,1.49493398039e8,3.147769785e8
2019,BRA,MEX,1.0,0.0,16.0,0.0,1.0
2019,BRA,NLD,1.0268192e9,9.74519e8,4.04308873e8,4.35063459881e8,1.0006691e9
